epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.12865,1.4427,3.8656,1.46497,0.02265,0.84608,0.0538,0.01946,1.09131,3.58137,1.10793,3.333e-05,3.333e-05,3.333e-05
2,2.06185,1.33856,3.76062,1.41273,0.02552,0.92593,0.1372,0.07645,0.90698,3.40157,0.93103,7.62302e-05,7.62302e-05,7.62302e-05
3,3.01928,1.12762,3.67783,1.21601,0.02641,0.99691,0.22953,0.14497,0.946,3.24729,0.86711,0.00011737,0.00011737,0.00011737
4,3.94714,1.07373,3.37913,1.12701,0.02803,1,0.40242,0.27034,0.96158,3.21005,0.8687,0.000156751,0.000156751,0.000156751
5,4.81586,1.00589,3.11092,1.07946,0.02961,1,0.50701,0.37145,0.85462,3.19531,0.83673,0.000194372,0.000194372,0.000194372
6,5.69625,0.98509,3.03456,1.05241,0.02776,1,0.55819,0.42443,0.83248,3.1822,0.83376,0.000230233,0.000230233,0.000230233
7,6.56536,1.02934,2.84347,1.07736,0.02622,1,0.64461,0.45569,0.99016,3.20461,0.87924,0.000264334,0.000264334,0.000264334
8,7.39492,1.01724,2.59312,1.08131,0.02663,1,0.66476,0.52983,0.81261,3.12315,0.82925,0.000296675,0.000296675,0.000296675
9,8.37971,1.01569,2.37568,1.08644,0.02691,1,0.68005,0.5403,0.80811,3.06945,0.82196,0.000327256,0.000327256,0.000327256
10,9.22714,0.96592,2.08988,1.08467,0.02599,1,0.63384,0.48768,0.84836,3.02835,0.83506,0.000356078,0.000356078,0.000356078
11,10.0942,0.968,1.85055,1.11919,0.02533,1,0.65361,0.50038,0.86913,3.01256,0.86568,0.000383139,0.000383139,0.000383139
12,10.9838,0.95413,1.62552,1.10893,0.02538,1,0.69993,0.53958,0.82861,2.91773,0.86956,0.000408441,0.000408441,0.000408441
13,11.5968,0.96319,1.49975,1.12401,1,0.12506,0.74877,0.55516,0.84481,2.76434,0.87164,0.000431983,0.000431983,0.000431983
14,12.2008,0.91032,1.30351,1.12015,1,0.18211,0.75983,0.57192,0.84341,2.66188,0.88266,0.000453766,0.000453766,0.000453766
15,12.8348,0.9282,1.28568,1.14279,0.9905,0.27733,0.75017,0.58342,0.85538,2.38045,0.91505,0.000473788,0.000473788,0.000473788
16,13.4746,0.90686,1.211,1.11687,0.99106,0.40127,0.75364,0.58964,0.87005,2.24549,0.92943,0.000492051,0.000492051,0.000492051
17,14.0411,0.91162,1.13217,1.13612,0.98017,0.4526,0.75751,0.55781,0.97829,2.17436,0.96999,0.000508554,0.000508554,0.000508554
18,14.6564,0.86474,1.08165,1.10962,0.97199,0.44518,0.78452,0.61078,0.87099,1.95108,0.97717,0.000523297,0.000523297,0.000523297
19,15.2145,0.8925,1.06431,1.13748,0.9687,0.44884,0.81441,0.63153,0.90776,1.86132,1.00545,0.00053628,0.00053628,0.00053628
20,15.7921,0.8917,1.03497,1.12609,0.96648,0.44753,0.84176,0.64298,0.91916,1.7206,1.02903,0.000547503,0.000547503,0.000547503
21,16.4357,0.89315,1.00278,1.10067,0.95693,0.55079,0.84343,0.65866,0.90199,1.44722,1.07423,0.000556967,0.000556967,0.000556967
22,17.0737,0.89126,0.9717,1.13116,0.96027,0.71979,0.84241,0.65437,0.87232,1.36592,1.05578,0.00056467,0.00056467,0.00056467
23,17.6612,0.83602,0.9274,1.08019,0.94576,0.75967,0.85188,0.67074,0.83836,1.25983,1.02452,0.000570614,0.000570614,0.000570614
24,18.2135,0.80369,0.90914,1.08975,0.92995,0.80695,0.86049,0.68505,0.81114,1.13487,1.01628,0.000574798,0.000574798,0.000574798
25,18.8057,0.85482,0.86573,1.08377,0.87813,0.81333,0.88718,0.70053,0.7922,0.99976,1.03031,0.000577222,0.000577222,0.000577222
26,19.3895,0.78832,0.8598,1.06889,0.899,0.83599,0.9181,0.71058,0.80911,0.89369,1.0428,0.000561055,0.000561055,0.000561055
27,19.9691,0.77065,0.83941,1.04652,0.90216,0.86636,0.9349,0.73366,0.79291,0.83359,1.02634,0.000539057,0.000539057,0.000539057
28,20.8392,0.79138,0.85199,1.05244,0.88964,0.88991,0.96432,0.74819,0.79524,0.82392,1.01034,0.000517059,0.000517059,0.000517059
29,21.4127,0.77911,0.83394,1.04873,0.90862,0.92282,0.96457,0.74092,0.79831,0.80356,1.00679,0.000495062,0.000495062,0.000495062
30,22.0531,0.73632,0.77265,1.02,0.91827,0.91938,0.96512,0.75148,0.78995,0.77802,1.00303,0.000473064,0.000473064,0.000473064
31,22.6404,0.75993,0.7758,1.03988,0.96341,0.87883,0.9646,0.75926,0.76765,0.77577,0.98657,0.000451066,0.000451066,0.000451066
32,23.2356,0.73526,0.73545,1.00733,0.96796,0.88567,0.96313,0.77711,0.73722,0.76814,0.97038,0.000429068,0.000429068,0.000429068
33,23.8372,0.73168,0.72144,1.02722,0.96931,0.88442,0.96311,0.78769,0.72423,0.75606,0.95611,0.00040707,0.00040707,0.00040707
34,24.4387,0.73592,0.72419,0.99504,0.96973,0.88297,0.96473,0.78885,0.74078,0.72531,0.96896,0.000385073,0.000385073,0.000385073
35,25.0277,0.72183,0.71949,1.01558,0.96393,0.8923,0.96558,0.79517,0.726,0.69005,0.96913,0.000363075,0.000363075,0.000363075
36,25.6534,0.70874,0.70469,1.02275,0.97274,0.90089,0.96802,0.80798,0.69282,0.67611,0.95555,0.000341077,0.000341077,0.000341077
37,26.2389,0.69436,0.71311,1.03123,0.97289,0.9132,0.97133,0.80232,0.69075,0.66532,0.95171,0.000319079,0.000319079,0.000319079
38,26.8623,0.67674,0.66835,0.99789,0.96961,0.93256,0.97717,0.8153,0.69608,0.65334,0.95353,0.000297081,0.000297081,0.000297081
39,27.4661,0.71449,0.69886,1.00834,0.96903,0.94687,0.97772,0.80665,0.71767,0.64334,0.96744,0.000275084,0.000275084,0.000275084
40,28.0315,0.71603,0.69752,1.02288,0.98096,0.94029,0.97593,0.79777,0.73026,0.63685,0.98077,0.000253086,0.000253086,0.000253086
41,30.5081,0.69374,0.91585,1.01632,0.98456,0.9405,0.97443,0.80622,0.72566,0.62905,0.97779,0.000231088,0.000231088,0.000231088
42,31.0808,0.70847,0.84458,0.9974,0.99252,0.92985,0.97686,0.81629,0.7035,0.62491,0.95885,0.00020909,0.00020909,0.00020909
43,31.6154,0.67828,0.7814,0.99016,0.97442,0.96128,0.98685,0.80992,0.68757,0.62989,0.94161,0.000187092,0.000187092,0.000187092
44,32.2255,0.6863,0.76249,0.97893,0.97234,0.95997,0.98674,0.81505,0.69157,0.63245,0.93717,0.000165095,0.000165095,0.000165095
45,32.7775,0.69671,0.73611,0.97168,0.99087,0.93455,0.9895,0.81797,0.6944,0.63932,0.93996,0.000143097,0.000143097,0.000143097
46,33.3437,0.64755,0.68979,0.97398,0.99148,0.9308,0.98693,0.81465,0.69424,0.64118,0.94659,0.000121099,0.000121099,0.000121099
47,33.9137,0.63679,0.70315,0.9534,0.99187,0.92904,0.98654,0.81144,0.7026,0.63869,0.95571,9.91012e-05,9.91012e-05,9.91012e-05
48,34.4805,0.63892,0.68173,0.98248,0.98514,0.97386,0.99251,0.80938,0.71037,0.63722,0.96132,7.71034e-05,7.71034e-05,7.71034e-05
49,35.0687,0.65291,0.67657,0.96694,0.98661,0.97389,0.99248,0.80789,0.70597,0.63178,0.95976,5.51056e-05,5.51056e-05,5.51056e-05
50,35.645,0.62077,0.67322,0.94825,0.98754,0.97504,0.99245,0.81136,0.69886,0.62538,0.95702,3.31078e-05,3.31078e-05,3.31078e-05
